file,method,accuracy,precision,recall,f1,tp,tn,fp,fn
big_scores_ag,majority_vote,0.9310946358482337,0.6532258064516129,0.6923076923076923,0.6721991701244814,162,1973,86,72
big_scores_ag,average_threshold,0.9310946358482337,0.6826923076923077,0.6068376068376068,0.6425339366515838,142,1993,66,92
