file,method,accuracy,precision,recall,f1,tp,tn,fp,fn
big_scores_ia,majority_vote,0.9541284403669725,0.9230769230769231,0.8888888888888888,0.9056603773584906,24,80,2,3
big_scores_ia,average_threshold,0.9541284403669725,0.9583333333333334,0.8518518518518519,0.9019607843137256,23,81,1,4
