file,method,accuracy,precision,recall,f1,tp,tn,fp,fn
big_scores_ab,majority_vote,0.9217118997912317,0.6647058823529411,0.5485436893203883,0.601063829787234,113,1653,57,93
big_scores_ab,average_threshold,0.9154488517745303,0.6864406779661016,0.3932038834951456,0.5,81,1673,37,125
